"Value","space","time","itemNo","RT","sid"
"f","hor","month",21,8951,19
"j","ver","century",31,8106,19
"f","ver","year",27,9046,19
"f","ver","year",28,10449,19
"f","hor","year",26,3261,19
"f","ver","week",20,5361,19
"f","hor","second",2,3867,19
"f","ver","month",24,21437,19
"f","hor","day",14,4241,19
"f","hor","century",30,3349,19
"f","ver","day",16,7635,19
"f","ver","month",23,2249,19
"f","hor","century",29,19105,19
"f","ver","hour",11,3519,19
"f","hor","week",17,4595,19
"f","hor","month",22,3886,19
"f","ver","second",3,4983,19
"f","hor","day",13,3198,19
"f","hor","year",25,5161,19
"f","ver","second",4,5369,19
"f","ver","minute",7,4104,19
"j","hor","minute",6,7074,19
"f","ver","day",15,5144,19
"f","hor","week",18,2168,19
"j","ver","century",32,2542,19
"f","ver","hour",12,5749,19
"f","hor","century",29,28,20
"f","ver","year",28,4028,20
"f","ver","week",19,3696,20
"f","ver","hour",11,135,20
"j","hor","second",1,130,20
"j","hor","month",21,192,20
"f","hor","minute",5,12,20
"j","ver","month",24,55,20
"f","ver","day",15,45,20
"f","ver","second",3,115,20
"f","ver","century",32,126,20
"f","ver","minute",7,169,20
"f","ver","year",27,203,20
"f","hor","year",26,180,20
"j","ver","century",31,42,20
"f","ver","minute",8,131,20
"f","hor","month",22,165,20
"f","hor","day",14,169,20
"j","hor","year",25,182,20
"j","ver","day",16,251,20
"j","hor","week",18,201,20
"f","hor","century",30,4,20
"f","hor","second",2,135,20
"j","ver","week",20,6,20
"j","hor","hour",10,148,20
"f","hor","week",17,137,20
"j","hor","minute",6,84,20
"f","ver","month",23,130,20
"j","hor","day",13,52,20
"j","hor","hour",9,61,20
"f","ver","hour",12,131,20
"j","ver","second",4,1510,20
"ShiftF","hor","year",26,3269,21
"ShiftF","hor","second",1,4399,21
"ShiftF","ver","week",19,2265,21
"ShiftJ","hor","day",14,6010,21
"ShiftJ","ver","hour",11,5556,21
"ShiftF","hor","year",25,3481,21
"ShiftF","hor","month",22,2675,21
"ShiftF","hor","week",18,2998,21
"ShiftF","hor","week",17,2421,21
"f","hor","hour",10,4974,21
"ShiftF","ver","month",23,2302,21
"ShiftF","hor","month",21,4615,21
"ShiftF","ver","day",16,3921,21
"f","ver","week",20,2910,21
"f","ver","minute",7,3656,21
"f","ver","year",28,2935,21
"j","ver","century",32,2808,21
"f","ver","year",27,3877,21
"f","ver","second",4,3925,21
"f","ver","second",3,2592,21
"f","ver","minute",8,3145,21
"j","hor","minute",6,5965,21
"j","hor","century",30,1804,21
"f","hor","hour",9,2806,21
"f","hor","century",29,3150,21
"f","ver","month",24,3728,21
"f","hor","day",13,2415,21
"j","hor","second",2,6191,21
"f","ver","hour",12,5267,21
"f","ver","day",15,3317,21
"j","ver","century",31,3169,21
"j","hor","minute",5,6452,21
"f","hor","year",26,8199,22
"f","hor","hour",9,6282,22
"f","ver","day",16,7055,22
"f","ver","week",20,2602,22
"f","hor","week",18,20243,22
"f","hor","century",30,4436,22
"f","ver","year",28,2686,22
"f","hor","second",1,5254,22
"f","hor","week",17,2433,22
"j","hor","minute",6,417,22
"j","hor","month",21,299,22
"f","ver","week",19,3311,22
"f","hor","day",13,2866,22
"f","hor","year",25,3641,22
"f","ver","second",4,242,22
"f","hor","hour",10,2374,22
"f","ver","month",24,2803,22
"f","ver","year",27,6085,22
"j","ver","month",23,343,22
"f","ver","minute",7,3603,22
"f","ver","hour",12,74,22
"f","hor","century",29,3062,22
"f","ver","century",31,2224,22
"f","ver","second",3,2167,22
"f","hor","month",22,1704,22
"j","hor","day",14,7921,22
"f","ver","hour",11,2369,22
"f","ver","minute",8,1231,22
"f","hor","second",2,1423,22
"f","hor","minute",5,2895,22
